username,game_company,country,score,age,sex
lIPzmJZK,TiMi,CN,42,37,1
GM63WBOu,NETS,US,85,11,1
Mmdzs88H,Tencent,UK,73,26,1
aHPBax0J,GY,US,10,27,0
SaTBx6dA,NETS,KR,52,36,0
WtKcaRyB,Tencent,CN,11,38,1
qY3lCkOW,TiMi,US,0,12,0
S8CNN92C,Tencent,CN,32,46,0
ZvLjTKGx,NEXON,KR,11,27,1
VjEJSrhb,NETS,CN,70,14,0
QavCYeNp,Tencent,US,33,24,0
HUT8TCe1,TiMi,UK,85,47,1
sedE5dfp,TiMi,US,12,27,0
nc7SPaY2,GY,CN,48,20,0
VaFKOLil,TiMi,US,24,35,0
VDIVQS0v,NEXON,UK,45,34,1
0j4rhtHb,NEXON,UK,46,47,0
CEgEtitU,NEXON,CN,100,24,0
0Ig4B0uL,NEXON,CN,76,44,0
E6Lj3OWt,NEXON,US,65,39,0
DZh7ddkq,NEXON,KR,58,35,1
RF0V8Adg,NEXON,UK,91,11,0
LARO09sy,Tencent,UK,44,29,0
eSwBgLlX,NETS,KR,76,30,0
spzQ3tkM,TiMi,UK,60,18,1
9p85Q05u,Tencent,KR,25,40,1
SPfMXMda,TiMi,UK,60,33,0
iJQ0vtTB,TiMi,US,97,46,1
ORtA3Pw3,NETS,UK,68,10,0
cL4eT79d,GY,UK,91,42,1
tKcbfFIN,GY,US,42,20,1
YMUSzWh3,NEXON,UK,1,35,1
xuvUSnRB,GY,KR,22,37,1
iaa3wtPE,Tencent,US,70,11,0
838GIKWl,TiMi,UK,14,49,0
caLcPBzF,GY,CN,69,26,0
1qdlgEBJ,TiMi,KR,32,30,1
LoorRIrG,NETS,CN,26,48,0
Zvhp9Lyu,NEXON,CN,33,23,1
bPrhoSqH,GY,CN,9,46,1
YCH8gUie,NEXON,UK,27,14,1
3P2yTBtX,Tencent,KR,70,37,1
M7p1r4nW,NETS,UK,44,38,1
ErU9SgbL,TiMi,US,11,28,1
8CZzz3fw,Tencent,UK,24,11,1
RcAgELYG,TiMi,KR,97,28,1
rZJGUKJN,TiMi,UK,18,38,1
SAfGNxsx,NEXON,US,9,38,0
vaVPrP43,NEXON,CN,14,50,1
81PYuEaa,NETS,KR,11,42,1
SWzDAKIV,TiMi,US,80,33,1
7wPfVP5b,NEXON,CN,70,47,1
xPaxQYZN,NEXON,KR,48,13,1
ZKyHCXCH,GY,UK,15,47,1
jL4c0quR,GY,UK,37,16,1
Fkm9oDlI,GY,CN,75,45,0
XIxGQUn6,Tencent,CN,41,21,1
weHo0leR,TiMi,UK,66,21,1
x0kN4n1q,NETS,CN,49,38,0
frgrFK0L,GY,CN,100,32,0
8oHC5Uno,TiMi,CN,0,27,0
ZeRT27DW,Tencent,US,31,13,1
tMQIQYYh,NETS,KR,80,42,0
gHG168E3,NETS,CN,50,29,1
wXeUbKg9,NEXON,US,46,41,1
UyPZ0ewO,NEXON,UK,99,27,1
RZfvLs60,GY,US,49,21,1
k3rbjq14,TiMi,US,93,47,0
WMkYSF9L,TiMi,CN,97,10,0
iO8KZOpw,TiMi,US,67,10,1
eIjCwIAi,TiMi,CN,24,37,0
W6LGtywu,Tencent,UK,33,35,1
Rwr5Kv18,NETS,UK,42,11,0
8IeLgABO,NETS,US,70,46,0
yccrDukv,Tencent,US,19,30,1
jRmPxMp5,NEXON,US,28,30,1
Nr5kqIa8,TiMi,CN,83,40,1
Q7FF4aXe,NETS,KR,58,27,1
WR0EFYai,GY,CN,72,40,1
NN0fyT2g,GY,US,5,31,0
BSZanNNU,GY,KR,89,39,1
dcm1rwgC,NETS,US,45,41,0
q3NT5eSR,NEXON,UK,32,18,1
KsoyPAcR,NEXON,CN,43,41,1
XHFX25RE,NEXON,UK,34,48,1
vFUO0yQe,NETS,CN,68,48,0
oePn5ovH,Tencent,US,6,28,0
CPKfPH9g,NETS,US,22,38,0
gbKgF9v0,TiMi,US,90,12,0
b353BUNn,GY,KR,57,23,1
QikbgcRW,NEXON,UK,88,17,0
SZaiBZfS,Tencent,KR,15,25,0
kpmHLQOu,TiMi,UK,44,42,0
sBpKvJ4g,NEXON,US,36,24,1
TjWnNKDk,TiMi,CN,16,48,0
BRFVclbj,NEXON,US,8,30,1
BwDWkDWG,TiMi,UK,36,26,0
ZTWs6NVI,Tencent,KR,13,34,0
FUSw6JE4,NEXON,CN,72,25,1
KWFMgLgX,TiMi,US,86,46,0
hyR7HxpQ,Tencent,UK,65,22,1
nC9WoBNN,GY,KR,61,18,0
DXvtB1EJ,TiMi,UK,56,22,1
Whio9ZCA,NETS,KR,47,38,1
aav8Cmao,GY,CN,15,15,0
w3IOQtbn,NETS,US,97,13,1
wSh8Lso4,Tencent,CN,55,28,0
5juGXaYm,GY,US,45,44,1
NQUOVv1O,GY,US,37,13,1
0mQDbDl4,Tencent,US,75,38,1
8cSWig2s,Tencent,US,71,14,0
jajEDE4d,NETS,UK,100,50,1
unZlEePg,NEXON,US,24,42,0
ByYnYD2h,NEXON,UK,73,49,1
txnkD9Hg,Tencent,CN,21,25,1
g7ll696N,Tencent,UK,65,22,1
G4uvdW8v,Tencent,US,85,19,1
KRZEF2NQ,NETS,KR,5,32,1
nYHgErOu,NEXON,CN,17,48,1
FPaVTaPK,NEXON,CN,97,29,1
KUJRdH3i,TiMi,KR,19,23,1
i8t05xyd,NETS,US,12,40,1
PjqNnanQ,NETS,KR,41,39,1
ErTHZNtk,TiMi,KR,5,22,0
hPzukbTI,TiMi,US,93,26,0
Q08nkvhu,TiMi,CN,23,28,1
3riRo4Vx,NETS,CN,36,15,1
8QLHC0eq,NEXON,CN,83,39,1
Ir9keUHW,TiMi,US,3,42,0
do6M9X6F,GY,CN,43,10,0
ElE0MG21,TiMi,KR,75,13,1
O6QfQSkk,Tencent,US,4,27,1
gR7lwjlF,GY,KR,4,48,0
uaB1opOe,GY,KR,49,31,0
VjXFv1vC,TiMi,US,43,45,1
AjBPaxDl,Tencent,US,7,30,1
8wqgh4Si,NETS,UK,90,17,0
PR6FlDps,TiMi,CN,19,21,1
lK2oFV1M,NETS,US,34,47,0
XUD6umRn,GY,UK,8,39,1
XjyTKpBq,NETS,UK,61,17,1
hyWJ6G4A,Tencent,UK,62,24,1
VZrUNg9t,Tencent,CN,31,24,0
sbyptrRC,NETS,CN,88,22,0
jbHtuine,NETS,CN,7,24,1
IvwpvCsR,Tencent,US,72,50,0
fFKNyxAG,GY,CN,81,31,0
0CP1yGe5,NEXON,US,61,21,0
tkuyDDQd,GY,UK,58,39,0
SCLHEM5Y,NETS,CN,42,45,1
hRzU8Oo7,NEXON,UK,69,28,1
zcL80JA4,NETS,US,16,31,0
dr4xrrmu,Tencent,KR,4,46,1
gwbYqjPp,NEXON,KR,52,33,0
Xo2C1sZy,NETS,KR,6,35,0
gfCbyQhH,NETS,CN,47,43,1
ZliQaDfd,Tencent,CN,73,41,1
5gNU4NOa,TiMi,CN,78,42,0
V5NoAcQj,NEXON,CN,11,33,1
pz10LfIb,NEXON,UK,27,22,0
kFWCNpul,TiMi,US,13,36,0
v1Rxb044,NEXON,CN,6,34,1
WJNxA1fV,NEXON,US,12,39,1
ade2E2Z1,NETS,CN,96,22,0
UPOLE7Ra,TiMi,US,49,23,1
lH8tjvCo,GY,KR,70,49,1
HW5Y2Cl7,GY,UK,15,46,0
bAhpVaMQ,NETS,CN,57,24,1
O1PsNaVA,Tencent,KR,42,30,0
FjLXooAw,TiMi,KR,1,19,1
nVKh90J9,GY,KR,17,13,0
gfv3q6ky,TiMi,KR,20,26,0
GpU5l0Sh,NEXON,CN,29,27,1
CNN4oiKc,NETS,KR,0,34,1
6pIwpnMb,NETS,CN,37,33,1
lLEny4jE,NEXON,UK,65,23,1
EAD1alGp,TiMi,KR,32,10,0
u8ajMLWm,Tencent,US,44,39,0
h2wBmlFd,NEXON,US,99,24,1
KSNS3qsZ,NEXON,US,54,38,1
gZ26jEJz,Tencent,CN,47,25,1
CSOlpFKS,GY,US,33,10,0
M6IpJbDs,Tencent,KR,42,13,1
L1O7hMsY,GY,KR,51,29,1
7ypFzvpQ,TiMi,CN,39,22,1
01wlUhDJ,TiMi,US,57,19,0
C6XrWSR4,Tencent,US,51,15,1
Mg01u1k5,GY,US,52,42,1
Kbh4sEK2,Tencent,KR,54,11,1
apOnrRir,Tencent,UK,57,10,1
tFdsZ4Wy,Tencent,UK,39,24,1
di9om8Ty,NETS,CN,29,36,1
d75bzpvm,NEXON,KR,21,22,0
5qXiBFEU,GY,UK,30,27,0
QsWtu3UO,TiMi,US,2,12,0
9n7S2zGa,Tencent,CN,51,34,0
cdqUi0DT,NETS,UK,82,19,1
WqgpyiGu,NETS,UK,69,14,1
WXrudR7G,NETS,UK,44,39,1
mTCJT6Wu,NEXON,UK,49,41,0
2K3RC3em,NETS,CN,38,14,1
KP2K5ocL,GY,US,49,31,1
W4MhCwcB,Tencent,CN,60,41,0
cRaTyjza,GY,US,14,49,0
1uaUt5ti,NETS,UK,42,36,1
4lrk8mpI,Tencent,UK,64,37,0
GEj4FSTp,Tencent,KR,16,26,0
il43WmtL,NEXON,US,57,23,0
Z6MSFz4p,GY,KR,64,39,1
asqTXMXC,NEXON,UK,68,49,0
mZxf22GH,NEXON,KR,2,12,0
Pm5Ude6J,GY,US,89,36,1
KZMULCi5,Tencent,US,57,13,0
ciTq9SFS,NETS,KR,3,25,1
J2KRFtHd,Tencent,CN,32,16,0
UXZPsMW8,GY,KR,95,33,0
K8IK01kh,Tencent,CN,51,14,0
wNVR7fZ9,NETS,UK,83,34,1
amRoJfQS,NEXON,KR,18,46,0
GLvirIc4,NEXON,US,87,17,1
Vbylsnyw,Tencent,CN,3,41,0
YRqYH0tT,GY,KR,22,27,1
jr9O203I,NEXON,US,94,19,0
3KR5rxH7,GY,UK,83,14,0
2kDjNIT7,GY,CN,54,36,0
AM0Y9uob,NETS,UK,41,40,1
tXjEPGRF,TiMi,US,84,12,0
XqNpU18I,NETS,US,26,20,0
UDxmrvQL,NEXON,CN,76,44,1
YRJAa5ml,NETS,CN,74,25,0
AgQiOQUB,NEXON,CN,13,26,0
nW4SgGvl,Tencent,CN,89,15,0
3FyBCXh0,NETS,KR,92,45,1
yAdwCr39,NETS,KR,5,24,0
4cQB0sql,NETS,UK,91,44,1
C45yUpLh,TiMi,KR,37,13,0
KJ9NkmUD,GY,US,17,43,0
dCywIc1j,TiMi,KR,53,34,1
9t2sCh3c,NETS,KR,93,35,1
Di8f7aAg,NETS,KR,23,24,0
hWKopVlw,TiMi,CN,90,42,1
ZGSbilPs,NETS,UK,34,29,1
mS3SOIsM,TiMi,US,63,35,1
7UBK3iDx,Tencent,CN,16,39,1
7ELb2aVL,NEXON,KR,60,27,1
bXk4dSpX,TiMi,KR,26,13,1
z3pZGQit,NETS,UK,51,13,1
6C4xmNzx,NETS,CN,90,24,0
F4ynV7j8,NETS,KR,53,42,0
a3c2qNk6,TiMi,CN,24,17,0
dp4p1PJo,GY,UK,0,35,0
Gn5OTP27,GY,CN,30,11,1
7QbwxLye,TiMi,CN,37,17,0
ajCZh87w,TiMi,CN,34,50,0
I0LcYULh,GY,KR,11,47,0
lmxmgX83,GY,UK,72,27,1
2ylTxzUY,NEXON,UK,3,30,1
3wbw9gu3,GY,KR,29,37,0
06Zl5dhi,TiMi,UK,78,38,1
i6LcZZVH,TiMi,UK,54,27,1
cxFvQusG,TiMi,KR,87,32,1
qdJS6XDZ,NETS,KR,60,26,0
tpybfiYY,GY,KR,50,22,0
zRKxXQNf,TiMi,CN,96,33,0
967AunlY,GY,UK,70,20,1
AXs5LG5i,NETS,CN,83,48,0
cBzeODPq,NETS,UK,26,47,0
4cXgKgKS,NETS,KR,80,23,1
GHMmrxWk,Tencent,US,5,25,0
Kek8YKTa,Tencent,CN,77,18,0
jdViNoDD,TiMi,UK,46,29,1
di9dlhHq,Tencent,KR,25,11,0
DeguL0H8,Tencent,CN,35,11,0
stAopP5f,GY,KR,54,11,0
hwrUHjWQ,NEXON,UK,21,18,1
T7hjyxxT,GY,CN,4,32,1
oU5v3FDb,TiMi,KR,16,16,0
C7REW7oX,TiMi,CN,54,34,0
fkjgO32S,NEXON,KR,94,42,0
tQiAqaxn,NETS,CN,63,13,1
885WMqji,NETS,KR,70,35,1
Oo3r3o4n,Tencent,CN,26,17,1
LjzdQHjH,TiMi,CN,87,39,0
bq8YVmi1,NEXON,US,79,44,1
BtAKEwLe,NEXON,UK,9,42,1
gJDmDSUP,Tencent,CN,23,17,0
mTTAz5Rp,Tencent,UK,4,45,0
n6cFC3DR,Tencent,CN,21,18,0
hPkXezXJ,NEXON,UK,55,29,0
co2DkZc2,Tencent,KR,69,26,0
hq3YAEjH,TiMi,UK,17,40,0
4zqBLbjR,NEXON,US,0,13,1
Sg3EgVpf,TiMi,CN,22,22,0
29vKyUVI,NEXON,US,63,19,0
dTxs09iZ,TiMi,US,20,26,0
edXdnxnl,NEXON,UK,24,23,0
ajE9SS3H,GY,CN,11,28,1
pmhE29Ey,Tencent,UK,99,19,1
eYElfvve,NETS,UK,25,15,1
bdikAUPV,Tencent,US,4,11,0
f3nXko94,Tencent,UK,87,13,1
WmYqKREz,Tencent,CN,62,21,1
09Co59ev,NETS,UK,2,10,0
eF7xqTyA,NEXON,UK,100,41,0
LGd97YMR,NETS,US,48,32,0
LR30Q9a3,GY,US,7,24,0
75oiyKgg,NEXON,CN,47,32,1
hBlnbHxG,Tencent,KR,67,19,0
MXyhoa1Z,Tencent,UK,54,20,1
ozU57qje,Tencent,KR,2,37,0
4d37GXxB,NEXON,US,91,16,0
RWQBkHzE,Tencent,UK,22,43,0
MdJ4jTnk,NEXON,UK,1,16,1
vpbSu6WM,TiMi,UK,27,22,0
4DX5j3EH,NEXON,CN,27,34,1
XIMeJmZF,NETS,US,45,16,1
H4fPw8qr,Tencent,UK,37,45,0
JurnDyeD,GY,CN,93,14,1
rN9YHUni,GY,US,9,47,0
dL0bqZbM,NETS,US,43,12,1
8ktbARBr,TiMi,UK,72,22,0
f8iDC7xf,NEXON,KR,28,38,1
EtuVXwPI,Tencent,US,96,15,0
KTECGebq,NETS,CN,53,27,1
JLuesrNl,NETS,CN,20,20,0
nG2zaYin,GY,UK,8,32,0
6QRQQnSr,TiMi,US,74,40,1
3Gvavplt,Tencent,UK,68,13,0
uYVYCTwy,NETS,CN,29,41,0
hwAf0jwq,NETS,UK,15,10,1
cpE5XLpF,NEXON,KR,8,44,0
iIroS99o,NETS,KR,70,14,1
tV0jH1vz,Tencent,KR,4,50,1
TcouugCQ,TiMi,UK,61,48,1
FMzMzLou,Tencent,UK,54,19,1
2LGC0k2P,Tencent,US,19,38,1
9J9HjEpD,GY,KR,28,15,1
Yyzvu3zD,NEXON,KR,24,46,1
K4AykT2y,GY,CN,35,18,1
HiP7clRG,GY,KR,14,20,1
0JLvBrQT,NETS,UK,58,28,1
AqXjTaoj,NETS,CN,59,21,0
Od1mpOIy,GY,US,75,48,1
AhWSYEIm,Tencent,UK,30,31,0
QSODvgoe,Tencent,CN,95,35,0
Y3uPlcvI,GY,UK,26,20,1
GSXtK4ve,TiMi,US,65,30,0
323RqoOr,Tencent,CN,64,16,1
me3lPikI,NETS,KR,52,36,0
SM9E0xXX,GY,KR,46,21,0
W36OMaf8,TiMi,KR,75,48,0
XObuiPFp,Tencent,CN,73,26,0
6FztTf6S,Tencent,US,97,50,1
2BCf5RCk,NEXON,US,28,42,0
dL1rrZUu,NEXON,CN,79,15,1
WeZQxi54,NEXON,US,62,17,0
9vC5LhIQ,NETS,CN,16,10,1
JvHMK3gD,Tencent,US,46,34,0
h9sLgx1a,GY,CN,39,48,1
SZWqrCiW,NEXON,UK,39,18,0
krklccoR,GY,KR,81,38,1
3YLEr14j,Tencent,US,59,19,1
2uEkNPDo,NETS,US,77,12,1
xqtYrNtY,Tencent,KR,64,46,1
HE5wP1qK,TiMi,UK,59,40,1
r67XUTsW,NETS,CN,7,15,0
j1KYAMiJ,TiMi,US,100,36,0
yVMyRPJs,NETS,KR,65,35,0
GaSerhy2,Tencent,CN,0,17,0
rJ3nhDSl,NEXON,US,61,27,0
NKTjOv4g,NETS,UK,82,36,0
MxbobSgr,Tencent,KR,42,44,0
dIqzLK9k,TiMi,CN,87,23,1
LdiDpK6q,TiMi,CN,97,34,1
wa5ZBZ3t,NEXON,KR,78,22,1
KBCkDpWI,NEXON,KR,66,16,1
vWrimCvP,NEXON,CN,6,48,1
kAbj5FPV,TiMi,US,53,40,1
0KR1wlfx,GY,CN,70,31,0
RuUDZUiM,GY,US,49,17,0
xTa6HS3k,GY,CN,3,18,1
YrABn6an,GY,KR,52,18,0
EiELZFQL,GY,CN,26,32,0
Dv21mN31,NETS,US,32,48,0
x5U7cwRR,NEXON,UK,30,10,0
dN6s4r0n,GY,CN,35,33,0
aAYaT9ry,Tencent,KR,39,20,0
ucukWmOz,NEXON,CN,46,40,1
KewGd2kb,GY,US,55,47,1
5WMiEmOh,GY,UK,3,38,1
hZyqebw6,GY,UK,44,34,1
tiFZPDaK,GY,UK,28,12,0
mBHXAQQr,NETS,UK,0,36,1
HwklT9o4,NETS,US,26,32,0
r63wT2Yz,Tencent,CN,52,41,0
6C2Ty6S1,Tencent,CN,98,11,1
MzZEmQnu,NEXON,CN,3,16,1
NRIOnt8p,TiMi,US,76,33,1
pD5QHQBB,Tencent,UK,8,27,1
V5qnaglk,GY,CN,2,20,0
NAOMKElM,NEXON,US,93,30,1
Mo2m0M6m,Tencent,KR,36,50,1
XRvjkGvt,NETS,UK,85,37,1
lWcLe6UK,Tencent,UK,99,10,1
7cIx5I0R,NEXON,US,68,11,0
E0MVdtgS,NEXON,KR,90,45,0
cqnQsfm7,GY,UK,0,21,1
KOPjau8N,GY,US,2,24,1
cmDelD9d,NEXON,UK,15,13,0
IAyzGUto,NETS,UK,38,48,0
G9mvsgJC,NETS,US,52,45,0
MmY9qT3H,TiMi,CN,73,14,0
8GIwvLJ0,Tencent,US,62,28,0
awKXc2mc,GY,UK,74,13,0
MCwFxUU3,NETS,US,17,23,1
H3580ohR,NEXON,US,61,47,1
NDf596NP,GY,US,61,16,1
vnySMr5a,TiMi,KR,61,33,1
5Ny5bhIJ,GY,CN,48,48,1
XHHyuaG6,NETS,KR,44,10,0
z4givlc3,NETS,CN,29,21,0
utn6sAfA,GY,KR,35,37,0
0wpr4pQw,NETS,KR,36,39,0
JgGEGAwg,GY,US,38,38,1
JXy1rh4C,Tencent,KR,30,29,1
3eHsT58r,NEXON,CN,80,50,0
Wt6Almil,NETS,KR,89,32,0
lsqZlTQy,TiMi,CN,80,22,0
rq3jRoqd,GY,US,84,17,0
539T46hD,GY,KR,42,19,0
5f32WqX4,GY,CN,19,47,0
2UytStam,NEXON,UK,55,42,0
Pkdom9Sc,Tencent,US,91,27,0
c3mWN8es,Tencent,KR,18,23,0
S0EQlTPN,NETS,US,30,37,1
VNOzl2JQ,NETS,UK,74,10,0
x90GUB1n,Tencent,UK,83,35,1
NkJAcUem,Tencent,US,62,40,1
ofdZPl9H,TiMi,CN,25,23,0
2JF8cfaZ,TiMi,US,96,17,0
tgihPa2S,TiMi,US,38,35,1
aBX6h6Gm,Tencent,KR,52,16,1
zg91NIzT,Tencent,CN,51,41,0
heVHx7vo,GY,US,94,16,1
8oiM70qs,TiMi,KR,15,40,1
OBBBgMhv,TiMi,CN,46,36,1
lRhqLegX,GY,KR,78,28,1
k9kKeKNf,NEXON,KR,41,41,0
sFncQiTZ,GY,CN,27,40,0
d2tzFSBt,Tencent,KR,88,12,0
MSlvKUSC,NETS,US,71,22,1
J3rhOSZM,NEXON,US,15,34,0
VHcvlZk2,NETS,CN,36,41,0
CtDoK7KE,NETS,UK,50,42,1
SQJz4OYM,NEXON,KR,41,44,0
GXWHkuL3,NETS,KR,46,38,0
oYmdPa9V,NEXON,US,44,16,1
BEpc6F9p,GY,UK,25,49,1
hGzMlKmk,TiMi,US,36,49,1
FZaQ3JXI,Tencent,CN,3,37,0
0grfEuPV,GY,UK,7,24,0
ZqHUEnmx,GY,UK,23,34,1
NggTgA60,NEXON,UK,45,42,0
6Dm6qmGh,NEXON,CN,20,26,0
YqEh8lvN,Tencent,CN,58,37,0
TmXyQpz4,Tencent,KR,59,32,1
ts8ZmP6M,Tencent,CN,58,41,0
OpvlGnAn,GY,UK,16,13,0
RypGCc2J,TiMi,CN,77,41,1
bdBRxizl,NETS,KR,63,19,0
vmC2LY3o,Tencent,UK,2,28,1
leCiPgmh,Tencent,UK,86,42,0
mDX3rklk,GY,CN,79,47,1
Bk97GIWS,NETS,KR,70,27,0
35qN9j04,NEXON,US,48,12,1
HVNO51yM,NETS,CN,21,47,1
gbRz9XUA,NEXON,KR,76,24,0
7YDovm1Z,Tencent,UK,71,18,1
A4OnOMmu,NEXON,US,9,35,0
b8X01dyZ,TiMi,UK,39,12,0
ov97fOyg,NETS,CN,59,42,1
OI5QgrEM,TiMi,CN,39,32,1
7GrvkOv7,GY,CN,97,47,1
c5YKZcxg,Tencent,US,84,36,0
jHI6DUyQ,NEXON,CN,4,46,1
98sRCmMf,TiMi,UK,13,16,1
H5MqvBtf,Tencent,US,64,49,1
Ou2JowsE,TiMi,UK,27,11,0
aOOAOEBz,NETS,CN,42,14,0
XfFUWrLY,NEXON,KR,13,20,0
AFP8iyhJ,Tencent,CN,39,16,0
rvAZ3huF,NETS,CN,26,38,1
699gOcb1,NETS,UK,64,13,0
RyZKzE52,GY,UK,89,25,1
ho5HYqGk,GY,KR,6,44,0
xJDLC6b7,TiMi,KR,71,23,1
OgWFeesB,NETS,CN,85,11,0
oCybrFYI,GY,CN,33,41,0
8vSjdgwo,NEXON,KR,18,26,1
9AsaWSEh,GY,US,43,11,1
ZGDEOFOY,NEXON,KR,56,27,1
GqlawHGI,TiMi,UK,49,31,0
5DZkjsvn,TiMi,KR,80,30,1
o8AnAYby,NEXON,US,83,19,1
yzsvbLl2,Tencent,UK,79,21,0
Z5nvhMNn,Tencent,UK,75,41,0
pM9zdgnV,GY,KR,79,27,0
31ZoToqx,NETS,KR,58,35,1
uyXPAHdu,GY,UK,99,35,0
AxnLV6KN,GY,KR,49,26,1
Z3I9RDT2,NETS,KR,59,31,1
UGMuQ7fW,NEXON,CN,60,47,0
AbRY5Wae,NETS,CN,1,46,1
9X8owkEK,NEXON,UK,22,17,0
MUh2Uql6,NETS,US,26,29,1
jd3fdMLR,Tencent,KR,11,25,0
AMlDsy8y,TiMi,CN,63,45,0
yRLIm5c9,NEXON,UK,88,49,0
SxRAko5R,GY,CN,4,14,0
awXBI8UU,Tencent,US,13,42,1
U7xhomyB,TiMi,US,48,19,0
YRgGLHL3,NETS,UK,34,12,1
zHccA652,GY,CN,81,24,1
8Ef1NNqK,Tencent,CN,47,45,0
iLfpBHUe,NEXON,UK,76,15,1
7VViRs5K,Tencent,CN,15,40,0
lWCoMUQ3,NEXON,KR,90,42,0
fivPTRuW,NEXON,CN,39,41,0
6SKWf5JN,NETS,KR,52,49,1
iYK2MkXa,Tencent,KR,4,47,1
2agnanun,Tencent,CN,47,19,0
rMrv4uW3,GY,KR,2,28,1
7CT8sb7o,NEXON,US,34,36,1
v0WNYMf7,NETS,CN,0,40,1
9V4uMP8Y,NEXON,KR,0,28,0
lYO1AoW1,GY,CN,47,12,0
PvJ7VqrQ,NETS,UK,4,37,0
7Vyb7BlO,Tencent,UK,89,40,1
dvcyt49h,NETS,US,69,48,0
0NeOHkHt,NETS,UK,97,16,1
Mmbmz5yd,NEXON,US,62,40,1
EkMoGTBm,NETS,US,78,42,1
UKnBqxo9,TiMi,UK,6,23,1
M0rTN301,TiMi,CN,80,39,0
3uIYInAV,Tencent,CN,60,25,0
qlgpEJMr,GY,UK,35,12,0
FqSw6Nkf,GY,CN,55,27,1
7WuoHwHG,NETS,CN,73,49,1
v3rKYyZN,NEXON,CN,8,40,0
pCdUe5iM,NEXON,US,33,47,1
b0GSYmWW,NEXON,KR,17,48,1
cpf4uPTM,TiMi,UK,17,42,1
oh5aMO9y,Tencent,UK,1,21,0
BUvaTQMJ,Tencent,KR,50,45,1
JnJuLnXd,Tencent,UK,54,39,1
